E,R,count,family,fixed_pre_violated_fraction,population,post,pre,row_fraction,split,validator_profile
17025,140000,0,valueRequiresStatement,,parent_pool,unknown,satisfied,0.0,train,checked_out_bounded
17025,140000,17025,valueRequiresStatement,1.0,parent_pool,satisfied,violated,0.12160714285714286,train,checked_out_bounded
17025,140000,0,valueRequiresStatement,0.0,parent_pool,violated,violated,0.0,train,checked_out_bounded
17025,140000,0,valueRequiresStatement,0.0,parent_pool,unknown,violated,0.0,train,checked_out_bounded
17025,140000,2524,valueRequiresStatement,,parent_pool,satisfied,unknown,0.01802857142857143,train,checked_out_bounded
17025,140000,0,valueRequiresStatement,,parent_pool,violated,unknown,0.0,train,checked_out_bounded
17025,140000,55603,valueRequiresStatement,,parent_pool,unknown,unknown,0.3971642857142857,train,checked_out_bounded
39903,140001,9719,valueType,,parent_pool,satisfied,satisfied,0.06942093270762352,train,checked_out_bounded
39903,140001,0,valueType,,parent_pool,violated,satisfied,0.0,train,checked_out_bounded
39903,140001,0,valueType,,parent_pool,unknown,satisfied,0.0,train,checked_out_bounded
