addition_only,base_preserved,base_removed,deletion_only,distinct_definitions,distinct_semantic_terms_max,distinct_semantic_terms_mean,distinct_semantic_terms_median,distinct_semantic_terms_p95,distinct_semantic_terms_sum,edges_max,edges_mean,edges_median,edges_p95,edges_sum,family,input_profile,loss_from_R,nodes_max,nodes_mean,nodes_median,nodes_p95,nodes_sum,noop,paired,population,pre_triples_max,pre_triples_mean,pre_triples_median,pre_triples_p95,pre_triples_sum,primary_post_satisfied,primary_post_unknown,primary_post_violated,primary_pre_satisfied,primary_pre_unknown,primary_pre_violated,records,retention_from_R,same_subject_property_replacement,split,subset,unknown_feature_nodes_max,unknown_feature_nodes_mean,unknown_feature_nodes_median,unknown_feature_nodes_p95,unknown_feature_nodes_sum,unresolved_operations,validator_profile,vocabulary_profile
1,1,0,0,1,37,37.0,37.0,37.0,37,42,42.0,42.0,42.0,42,valueType,passive,99999,42,42.0,42.0,42.0,42,0,0,existing_sample,18,18.0,18.0,18.0,18,1,0,0,0,0,1,1,1e-05,0,overall,F_and_B_minus_A,8,8.0,8.0,8.0,8,0,checked_out_bounded,clean_parent_train_minocc100
0,0,0,0,0,,,,,0,,,,,0,conflictWith,passive,15093,,,,,0,0,0,existing_sample,,,,,0,0,0,0,0,0,0,0,0.0,0,test,F_and_B_minus_A,,,,,0,0,checked_out_bounded,clean_parent_train_minocc100
0,0,0,0,0,,,,,0,,,,,0,distinct,passive,34232,,,,,0,0,0,existing_sample,,,,,0,0,0,0,0,0,0,0,0.0,0,test,F_and_B_minus_A,,,,,0,0,checked_out_bounded,clean_parent_train_minocc100
0,0,22,0,10,96,42.63636363636363,35.0,95.0,938,156,62.72727272727273,49.0,156.0,1380,inverse,passive,10563,157,62.40909090909091,47.5,156.0,1373,0,22,existing_sample,77,30.363636363636363,23.5,77.0,668,22,0,0,0,0,22,22,0.0020784128483703353,22,test,F_and_B_minus_A,73,24.727272727272727,15.5,71.0,544,0,checked_out_bounded,clean_parent_train_minocc100
20,20,0,0,7,186,31.95,23.5,41.0,639,274,48.7,36.0,68.0,974,itemRequiresStatement,passive,14980,266,45.65,33.5,60.0,913,0,0,existing_sample,136,23.2,17.0,33.0,464,20,0,0,0,0,20,20,0.0013333333333333333,0,test,F_and_B_minus_A,84,12.4,8.0,18.0,248,0,checked_out_bounded,clean_parent_train_minocc100
0,0,4,0,3,128,96.5,99.5,128.0,386,210,163.5,187.0,210.0,654,oneOf,passive,1024,210,163.75,187.5,210.0,655,0,4,existing_sample,25,16.5,17.5,25.0,66,4,0,0,0,0,4,4,0.0038910505836575876,4,test,F_and_B_minus_A,17,8.75,7.0,17.0,35,0,checked_out_bounded,clean_parent_train_minocc100
0,44,1,44,4,83,39.4,37.0,67.0,1773,134,52.044444444444444,46.0,92.0,2342,single,passive,17913,135,52.62222222222222,47.0,87.0,2368,0,1,existing_sample,63,22.31111111111111,19.0,43.0,1004,45,0,0,0,0,45,45,0.002505846976277982,0,test,F_and_B_minus_A,57,17.244444444444444,14.0,33.0,776,0,checked_out_bounded,clean_parent_train_minocc100
0,0,3,0,3,71,43.666666666666664,33.0,71.0,131,106,64.66666666666667,46.0,106.0,194,symmetric,passive,4413,98,61.666666666666664,44.0,98.0,185,0,3,existing_sample,53,32.333333333333336,23.0,53.0,97,3,0,0,0,0,3,3,0.0006793478260869565,3,test,F_and_B_minus_A,36,19.666666666666668,14.0,36.0,59,0,checked_out_bounded,clean_parent_train_minocc100
0,0,0,0,0,,,,,0,,,,,0,type,passive,15002,,,,,0,0,0,existing_sample,,,,,0,0,0,0,0,0,0,0,0.0,0,test,F_and_B_minus_A,,,,,0,0,checked_out_bounded,clean_parent_train_minocc100
89,89,1,0,4,181,22.8,17.0,35.0,2052,210,30.666666666666668,26.0,48.0,2760,valueRequiresStatement,passive,14913,207,29.555555555555557,24.0,45.0,2660,0,1,existing_sample,104,13.38888888888889,11.0,23.0,1205,90,0,0,0,0,90,90,0.00599880023995201,1,test,F_and_B_minus_A,80,8.233333333333333,6.0,16.0,741,0,checked_out_bounded,clean_parent_train_minocc100
