A,A_over_R,F,F_and_A,F_and_A_over_F,F_not_A,R,family,population,source_records,split,vocabulary
5781,0.8433260393873085,1564,1550,0.9910485933503836,14,6855,oneOf,existing_sample,6855,overall,V1_verified_train_minocc100
813803,0.8517885085382638,661595,610449,0.9226928861312435,51146,955405,overall,existing_sample,955405,overall,V1_verified_train_minocc100
102709,0.8578886262455836,52766,52754,0.9997725808285638,12,119723,single,existing_sample,119723,overall,V1_verified_train_minocc100
29176,0.9842790634909925,10134,10132,0.9998026445628577,2,29642,symmetric,existing_sample,29642,overall,V1_verified_train_minocc100
94514,0.9451116466506004,64196,64065,0.9979593744158515,131,100003,type,existing_sample,100003,overall,V1_verified_train_minocc100
61323,0.6132177356452871,45381,35263,0.7770432559881889,10118,100002,valueRequiresStatement,existing_sample,100002,overall,V1_verified_train_minocc100
81971,0.81971,37766,37718,0.9987290155166022,48,100000,valueType,existing_sample,100000,overall,V1_verified_train_minocc100
14100,0.934207910952097,11585,11524,0.9947345705653863,61,15093,conflictWith,existing_sample,15093,test,V1_verified_train_minocc100
33226,0.970612292591727,34075,33069,0.970476889214967,1006,34232,distinct,existing_sample,34232,test,V1_verified_train_minocc100
10379,0.9805384978743505,9389,9387,0.999786984769411,2,10585,inverse,existing_sample,10585,test,V1_verified_train_minocc100
7992,0.5328,12504,7338,0.586852207293666,5166,15000,itemRequiresStatement,existing_sample,15000,test,V1_verified_train_minocc100
875,0.8511673151750972,218,213,0.9770642201834863,5,1028,oneOf,existing_sample,1028,test,V1_verified_train_minocc100
121960,0.8509866309414161,99272,91501,0.9217201224917398,7771,143316,overall,existing_sample,143316,test,V1_verified_train_minocc100
15400,0.8575565207706871,7897,7891,0.9992402178042294,6,17958,single,existing_sample,17958,test,V1_verified_train_minocc100
4353,0.985733695652174,1495,1493,0.9986622073578595,2,4416,symmetric,existing_sample,4416,test,V1_verified_train_minocc100
14166,0.9442740967870951,9616,9590,0.9972961730449251,26,15002,type,existing_sample,15002,test,V1_verified_train_minocc100
9164,0.6108111710991135,6791,5301,0.7805919599469887,1490,15003,valueRequiresStatement,existing_sample,15003,test,V1_verified_train_minocc100
12305,0.8203880258683912,5702,5695,0.9987723605752368,7,14999,valueType,existing_sample,14999,test,V1_verified_train_minocc100
65738,0.9334204211452994,53662,53419,0.9954716559203906,243,70427,conflictWith,existing_sample,70427,train,V1_verified_train_minocc100
155110,0.9709971641949882,159043,154418,0.9709198141383147,4625,159743,distinct,existing_sample,159743,train,V1_verified_train_minocc100
48162,0.977769657104574,43798,43798,1.0,0,49257,inverse,existing_sample,49257,train,V1_verified_train_minocc100
37864,0.540906558477736,58233,34640,0.5948517163807463,23593,70001,itemRequiresStatement,existing_sample,70001,train,V1_verified_train_minocc100
4045,0.8430596081700709,1112,1112,1.0,0,4798,oneOf,existing_sample,4798,train,V1_verified_train_minocc100
569548,0.8516236305266762,462849,427174,0.9229230267322605,35675,668779,overall,existing_sample,668779,train,V1_verified_train_minocc100
71861,0.8574582075482955,36850,36847,0.9999185888738128,3,83807,single,existing_sample,83807,train,V1_verified_train_minocc100
20405,0.9836105085562786,7098,7098,1.0,0,20745,symmetric,existing_sample,20745,train,V1_verified_train_minocc100
66155,0.9450714285714286,44965,44890,0.9983320360280218,75,70000,type,existing_sample,70000,train,V1_verified_train_minocc100
42889,0.6127,31762,24655,0.776242050248725,7107,70000,valueRequiresStatement,existing_sample,70000,train,V1_verified_train_minocc100
57319,0.8188311595548635,26326,26297,0.9988984274101649,29,70001,valueType,existing_sample,70001,train,V1_verified_train_minocc100
14112,0.935064935064935,11536,11485,0.9955790568654647,51,15092,conflictWith,existing_sample,15092,val,V1_verified_train_minocc100
33273,0.9719568837087021,34091,33133,0.9718987416033558,958,34233,distinct,existing_sample,34233,val,V1_verified_train_minocc100
10285,0.9777545394048864,9371,9369,0.9997865756055917,2,10519,inverse,existing_sample,10519,val,V1_verified_train_minocc100
8088,0.5392719029203894,12501,7387,0.5909127269818415,5114,14998,itemRequiresStatement,existing_sample,14998,val,V1_verified_train_minocc100
861,0.8367346938775511,234,225,0.9615384615384616,9,1029,oneOf,existing_sample,1029,val,V1_verified_train_minocc100
122295,0.8533598492777894,99474,91774,0.9225928383296138,7700,143310,overall,existing_sample,143310,val,V1_verified_train_minocc100
15448,0.8602294242120503,8019,8016,0.9996258885147774,3,17958,single,existing_sample,17958,val,V1_verified_train_minocc100
4418,0.9859406382503906,1541,1541,1.0,0,4481,symmetric,existing_sample,4481,val,V1_verified_train_minocc100
14193,0.946136924205053,9615,9585,0.9968798751950078,30,15001,type,existing_sample,15001,val,V1_verified_train_minocc100
9270,0.6180412027468498,6828,5307,0.7772407732864675,1521,14999,valueRequiresStatement,existing_sample,14999,val,V1_verified_train_minocc100
12347,0.8231333333333334,5738,5726,0.9979086789822238,12,15000,valueType,existing_sample,15000,val,V1_verified_train_minocc100
187919,0.9338750155298795,153675,152970,0.9954123962908736,705,201225,conflictWith,parent_pool,201225,overall,V1_verified_train_minocc100
443200,0.9710588529148199,454400,441214,0.9709815140845071,13186,456409,distinct,parent_pool,456409,overall,V1_verified_train_minocc100
137276,0.9781045821487863,124787,124782,0.9999599317236572,5,140349,inverse,parent_pool,140349,overall,V1_verified_train_minocc100
107788,0.53894,166379,98502,0.592033850425835,67877,200000,itemRequiresStatement,parent_pool,200000,overall,V1_verified_train_minocc100
11512,0.8397403165803486,3016,2979,0.9877320954907162,37,13709,oneOf,parent_pool,13709,overall,V1_verified_train_minocc100
1627468,0.85172341968836,1323129,1220706,0.9225903143230932,102423,1910794,overall,parent_pool,1910794,overall,V1_verified_train_minocc100
205411,0.8578593920967567,105434,105410,0.9997723694443917,24,239446,single,parent_pool,239446,overall,V1_verified_train_minocc100
58693,0.9839234225172668,20527,20525,0.9999025673503191,2,59652,symmetric,parent_pool,59652,overall,V1_verified_train_minocc100
188903,0.9445055549444505,128443,128153,0.9977421891422654,290,200002,type,parent_pool,200002,overall,V1_verified_train_minocc100
122907,0.6145319273403633,91155,70949,0.7783336075914651,20206,200001,valueRequiresStatement,parent_pool,200001,overall,V1_verified_train_minocc100
163859,0.8192909035454823,75313,75222,0.9987917092666605,91,200001,valueType,parent_pool,200001,overall,V1_verified_train_minocc100
28236,0.9354624966869864,23229,23115,0.9950923414697146,114,30184,conflictWith,parent_pool,30184,test,V1_verified_train_minocc100
66466,0.9708451403698402,68161,66166,0.9707310632179692,1995,68462,distinct,parent_pool,68462,test,V1_verified_train_minocc100
20697,0.980482258752191,18777,18774,0.999840230068701,3,21109,inverse,parent_pool,21109,test,V1_verified_train_minocc100
15973,0.5324510817027234,24994,14640,0.5857405777386573,10354,29999,itemRequiresStatement,parent_pool,29999,test,V1_verified_train_minocc100
1721,0.8370622568093385,445,426,0.9573033707865168,19,2056,oneOf,parent_pool,2056,test,V1_verified_train_minocc100
244117,0.8517095806294048,198725,183181,0.9217813561454271,15544,286620,overall,parent_pool,286620,test,V1_verified_train_minocc100
30820,0.8580894840883148,15807,15795,0.9992408426646422,12,35917,single,parent_pool,35917,test,V1_verified_train_minocc100
8764,0.985715892475537,3021,3019,0.9993379675604105,2,8891,symmetric,parent_pool,8891,test,V1_verified_train_minocc100
28331,0.9443351888270392,19270,19212,0.9969901401141671,58,30001,type,parent_pool,30001,test,V1_verified_train_minocc100
18472,0.6157128095730142,13584,10614,0.7813604240282686,2970,30001,valueRequiresStatement,parent_pool,30001,test,V1_verified_train_minocc100
24637,0.8212333333333334,11437,11420,0.9985135962227857,17,30000,valueType,parent_pool,30000,test,V1_verified_train_minocc100
131492,0.9335141313530744,107433,106965,0.9956437965988104,468,140857,conflictWith,parent_pool,140857,train,V1_verified_train_minocc100
310262,0.9711286253544756,318086,308880,0.9710581415089001,9206,319486,distinct,parent_pool,319486,train,V1_verified_train_minocc100
96018,0.9775311784169,87319,87319,1.0,0,98225,inverse,parent_pool,98225,train,V1_verified_train_minocc100
75727,0.540903279262291,116381,69177,0.5944011479537038,47204,140001,itemRequiresStatement,parent_pool,140001,train,V1_verified_train_minocc100
8079,0.8419132972071697,2123,2123,1.0,0,9596,oneOf,parent_pool,9596,train,V1_verified_train_minocc100
1139163,0.8516756320300848,925727,854411,0.9229621691924293,71316,1337555,overall,parent_pool,1337555,train,V1_verified_train_minocc100
143768,0.8577428823711906,73703,73699,0.9999457281250425,4,167612,single,parent_pool,167612,train,V1_verified_train_minocc100
41083,0.983411528150134,14428,14428,1.0,0,41776,symmetric,parent_pool,41776,train,V1_verified_train_minocc100
132185,0.9441718273440904,89913,89740,0.9980759178316817,173,140001,type,parent_pool,140001,train,V1_verified_train_minocc100
85917,0.6136928571428572,63808,49599,0.7773163239719157,14209,140000,valueRequiresStatement,parent_pool,140000,train,V1_verified_train_minocc100
114632,0.8187941514703466,52533,52481,0.9990101460034645,52,140001,valueType,parent_pool,140001,train,V1_verified_train_minocc100
28191,0.9339716406042937,23013,22890,0.9946551948898449,123,30184,conflictWith,parent_pool,30184,val,V1_verified_train_minocc100
66472,0.9709469625041994,68153,66168,0.970874356227899,1985,68461,distinct,parent_pool,68461,val,V1_verified_train_minocc100
20561,0.9783963835355698,18691,18689,0.9998929966293938,2,21015,inverse,parent_pool,21015,val,V1_verified_train_minocc100
16088,0.5362666666666667,25004,14685,0.5873060310350344,10319,30000,itemRequiresStatement,parent_pool,30000,val,V1_verified_train_minocc100
1712,0.8322800194457949,448,430,0.9598214285714286,18,2057,oneOf,parent_pool,2057,val,V1_verified_train_minocc100
244188,0.8519602678119734,198677,183114,0.9216668260543496,15563,286619,overall,parent_pool,286619,val,V1_verified_train_minocc100
30823,0.8581730099952669,15924,15916,0.9994976136649083,8,35917,single,parent_pool,35917,val,V1_verified_train_minocc100
8846,0.9845297718419588,3078,3078,1.0,0,8985,symmetric,parent_pool,8985,val,V1_verified_train_minocc100
28387,0.9462333333333334,19260,19201,0.9969366562824507,59,30000,type,parent_pool,30000,val,V1_verified_train_minocc100
18518,0.6172666666666666,13763,10736,0.7800624863765168,3027,30000,valueRequiresStatement,parent_pool,30000,val,V1_verified_train_minocc100
