bucket,cohort,denominator,denominator_kind,metric,section,share,slot,split,value
>=100,F_and_A_V1,1005,,other_subject,heldout_role_reference_support_detail,,add_subject,val,204
>=100,F,1005,,other_subject,heldout_role_reference_support_detail,,add_subject,test,1693
>=100,F_and_A_V1,1005,,other_subject,heldout_role_reference_support_detail,,add_subject,test,211
>=100,F,194654,,object,heldout_role_reference_support_detail,,add_subject,test,44844
>=100,F_and_A_V1,194654,,object,heldout_role_reference_support_detail,,add_subject,test,41858
>=100,F,93825,,subject,heldout_role_reference_support_detail,,add_object,test,20093
>=100,F_and_A_V1,93825,,subject,heldout_role_reference_support_detail,,add_object,test,20093
>=100,F,194654,,object,heldout_role_reference_support_detail,,add_subject,val,44936
>=100,F_and_A_V1,194654,,object,heldout_role_reference_support_detail,,add_subject,val,41890
0,F,73345,concrete_target_components_only,component_count,heldout_target_component_training_support,0.2114663576249233,add_object,test,15510
1-9,F,73345,concrete_target_components_only,component_count,heldout_target_component_training_support,0.013797804894675848,add_object,test,1012
10-99,F,73345,concrete_target_components_only,component_count,heldout_target_component_training_support,0.04961483400368123,add_object,test,3639
>=100,F,73345,concrete_target_components_only,component_count,heldout_target_component_training_support,0.7251210034767196,add_object,test,53184
role_reference,F,97063,all_populated_target_components,component_count,heldout_target_component_training_support,0.24435675798192927,add_object,test,23718
0,F,87583,concrete_target_components_only,component_count,heldout_target_component_training_support,0.01806286608131715,add_predicate,test,1582
1-9,F,87583,concrete_target_components_only,component_count,heldout_target_component_training_support,0.013758377767374947,add_predicate,test,1205
10-99,F,87583,concrete_target_components_only,component_count,heldout_target_component_training_support,0.01400956806686229,add_predicate,test,1227
>=100,F,87583,concrete_target_components_only,component_count,heldout_target_component_training_support,0.9541691880844456,add_predicate,test,83569
role_reference,F,97063,all_populated_target_components,component_count,heldout_target_component_training_support,0.09766852456651866,add_predicate,test,9480
0,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,add_subject,test,0
1-9,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,add_subject,test,0
10-99,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,add_subject,test,0
>=100,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,add_subject,test,0
role_reference,F,97063,all_populated_target_components,component_count,heldout_target_component_training_support,1.0,add_subject,test,97063
0,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_object,test,0
1-9,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_object,test,0
10-99,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_object,test,0
>=100,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_object,test,0
role_reference,F,110487,all_populated_target_components,component_count,heldout_target_component_training_support,1.0,del_object,test,110487
0,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_predicate,test,0
1-9,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_predicate,test,0
10-99,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_predicate,test,0
>=100,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_predicate,test,0
role_reference,F,110487,all_populated_target_components,component_count,heldout_target_component_training_support,1.0,del_predicate,test,110487
0,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_subject,test,0
1-9,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_subject,test,0
10-99,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_subject,test,0
>=100,F,0,concrete_target_components_only,component_count,heldout_target_component_training_support,,del_subject,test,0
role_reference,F,110487,all_populated_target_components,component_count,heldout_target_component_training_support,1.0,del_subject,test,110487
0,F,160928,concrete_target_components_only,component_count,heldout_target_component_training_support,0.10620898787035196,overall,test,17092
1-9,F,160928,concrete_target_components_only,component_count,heldout_target_component_training_support,0.013776347186319348,overall,test,2217
10-99,F,160928,concrete_target_components_only,component_count,heldout_target_component_training_support,0.03023712467687413,overall,test,4866
>=100,F,160928,concrete_target_components_only,component_count,heldout_target_component_training_support,0.8497775402664546,overall,test,136753
role_reference,F,622650,all_populated_target_components,component_count,heldout_target_component_training_support,0.741543403196017,overall,test,461722
0,F,73253,concrete_target_components_only,component_count,heldout_target_component_training_support,0.21218243621421648,add_object,val,15543
1-9,F,73253,concrete_target_components_only,component_count,heldout_target_component_training_support,0.013132567949435518,add_object,val,962
10-99,F,73253,concrete_target_components_only,component_count,heldout_target_component_training_support,0.04797073157413348,add_object,val,3514
>=100,F,73253,concrete_target_components_only,component_count,heldout_target_component_training_support,0.7267142642622145,add_object,val,53234
role_reference,F,96987,all_populated_target_components,component_count,heldout_target_component_training_support,0.24471320898677143,add_object,val,23734
